Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,TotalTests,Population,Continent
Montenegro,296542,2846,291794,1902,2769281,627950,Europe
Algeria,272010,6881,183061,82068,230960,45350148,Africa
Nigeria,267188,3155,259953,4080,5708974,216746934,Africa
Zimbabwe,266359,5740,258888,1731,2525756,15331428,Africa
Uzbekistan,253662,1637,241486,10539,1377915,34382084,Asia
Afghanistan,234174,7996,211080,15098,1390730,40754388,Asia
Mozambique,233731,2250,228805,2676,1371127,33089461,Africa
Martinique,230354,1102,2122.646055,227129.3539,828928,374087,North America
Laos,218970,758,2017.745759,216194.2542,1233207,7481023,Asia
Iceland,209906,229,1934.223598,207742.7764,1996384,345393,Europe
Kyrgyzstan,206897,2991,196406,7500,1907195,6728271,Asia
Guadeloupe,203235,1021,1872.752246,200341.2478,938039,399794,North America
El Salvador,201855,4230,179410,18215,2610114,6550389,North America
Trinidad and Tobago,191496,4390,187078,28,913289,1406585,North America
Maldives,186694,316,163687,22691,2213831,540985,Asia
Namibia,172389,4106,167099,1184,1062663,2633874,Africa
Uganda,172149,3632,100431,68086,3012408,48432863,Africa
Ghana,171889,1462,170425,2,2541625,32395450,Africa
Jamaica,156869,3756,1445.502852,151667.4971,1183986,2985094,North America
Cambodia,139103,3056,136044,3,3091420,17168639,Asia
Rwanda,133518,1468,132039,11,6021981,13600464,Africa
Cameroon,125379,1974,123280,125,1751774,27911548,Africa
Malta,121420,885,120149,386,2170600,444033,Europe
Barbados,110578,648,108647,1283,814159,288023,North America
Angola,107327,1937,103419,1971,1499795,35027343,Africa
Channel Islands,101717,228,101321,168,1252808,176463,Europe
DRC,99338,1468,84489,13381,846704,95240792,Africa
French Guiana,98041,420,11254,86367,651257,314169,South America
Malawi,89535,2686,825.0393504,86023.96065,624784,20180839,Africa
Senegal,89053,1971,87024,58,1146543,17653671,Africa
Ivory Coast,88384,835,87497,52,1690934,27742298,Africa
Suriname,82588,1408,761.0247375,80418.97526,242207,596831,South America
New Caledonia,80064,314,737.7668012,79012.2332,98964,290915,Australia/Oceania
French Polynesia,79254,650,730.3028835,77873.69712,966744.5562,284164,Australia/Oceania
Eswatini,75191,1427,73116,648,1048704,1184817,Africa
Guyana,74137,1300,72013,824,733218,794045,South America
Belize,71409,688,658.0134581,70062.98654,576016,412190,North America
Fiji,69117,885,67226,1006,672883,909466,Australia/Oceania
Madagascar,68486,1426,66862,198,531329,29178077,Africa
Cabo Verde,64477,417,63755,305,401622,567678,Africa
Sudan,63993,5046,58947,0,562941,45992020,Africa
Mauritania,63848,997,62471,380,1009957,4901981,Africa
Bhutan,62697,21,61564,1112,2303734,787941,Asia
Syria,57743,3165,54578,0,146269,19364809,Asia
Burundi,54721,38,53569,1114,345742,12624840,Africa
Seychelles,51220,172,51048,0,624784.3158,99426,Africa
Gabon,49051,307,48674,70,1621909,2331533,Africa
Andorra,48015,165,442.4444565,47407.55554,249838,77463,Europe
Papua New Guinea,46864,670,46168,26,249149,9292169,Australia/Oceania
Curaao,45986,295,44720,971,496693,165529,North America
Aruba,44224,292,42438,1494,177885,107609,North America
Tanzania,43223,846,398.2875506,41978.71245,527236.4796,63298550,Africa
Mauritius,43025,1051,41278,696,358675,1274727,Africa
Mayotte,42027,188,387.2667535,41451.73325,176919,286259,Africa
Togo,39572,290,39281,1,815204,8680837,Africa
Guinea,38572,468,37757,347,660107,13865691,Africa
Bahamas,38084,844,36366,874,257839,400516,North America
Isle of Man,38008,116,350.232821,37541.76718,150753,85732,Europe
Lesotho,36138,723,25980,9435,431221,2175699,Africa
Haiti,34667,860,33734,73,132422,11680283,North America
Faeroe Islands,34658,28,319.3635316,34310.63647,778000,49233,Europe
Mali,33164,743,32332,89,804909,21473764,Africa
Cayman Islands,31472,37,8553,22882,222773,67277,North America
Saint Lucia,30215,410,29805,0,210983,185113,North America
Benin,28036,163,27847,26,604310,12784726,Africa
Macao,27673,123,3487,24063,7850,667490,Asia
Somalia,27334,1361,13182,12791,400466,16841795,Africa
Micronesia,26547,65,244.6229925,26237.37701,82430,117489,Australia/Oceania
San Marino,26185,128,26011,46,196855,34085,Europe
Solomon Islands,25954,199,239.1586676,25515.84133,316588.2884,721159,Australia/Oceania
Congo,25375,386,24006,983,347815,5797805,Africa
Timor-Leste,23460,138,23102,220,278529,1369429,Asia
Burkina Faso,22114,400,21596,118,248995,22102838,Africa
Liechtenstein,21574,94,198.7982235,21281.20178,112457,38387,Europe
Gibraltar,20550,113,189.3623572,20247.63764,534283,33704,Europe
Grenada,19693,238,19358,97,182981,113475,North America
Bermuda,18860,165,18685,10,1029558,61939,North America
South Sudan,18819,147,18115,557,410280,11618511,Africa
Nicaragua,18491,225,4225,14041,225554.2129,6779100,North America
Tajikistan,17786,125,17264,397,216954.585,9957464,Asia
Equatorial Guinea,17229,183,16907,139,365697,1496662,Africa
Monaco,17181,67,158.3179883,16955.68201,78646,39783,Europe
Samoa,17006,31,1605,15370,187397,202239,Australia/Oceania
Tonga,16950,13,15638,1299,535009,107749,Australia/Oceania
Marshall Islands,16138,17,16121,0,196852.1923,60057,Australia/Oceania
Dominica,16038,74,15964,0,229344,72344,North America
Djibouti,15690,189,15427,74,305941,1016097,Africa
CAR,15440,113,15200,127,81294,5016678,Africa
Gambia,12626,372,12189,65,155686,2558482,Africa
Saint Martin,12324,63,113.562126,12147.43787,112382,39730,North America
Vanuatu,12019,14,11976,29,24976,321832,Australia/Oceania
Greenland,11971,21,2761,9189,164926,56973,North America
Yemen,11945,2159,9124,662,329592,31154867,Asia
Caribbean Netherlands,11682,38,10476,1168,30126,26647,North America
Sint Maarten,11051,92,10905,54,62056,43966,North America
Eritrea,10189,103,10086,0,23693,3662244,Africa
Niger,9931,312,8890,729,254538,26083660,Africa
St. Vincent Grenadines,9674,124,9493,57,114197,111551,North America
Guinea-Bissau,9614,177,8929,508,145231,2063367,Africa
Comoros,9109,161,8939,9,111112.0721,907419,Africa
Antigua and Barbuda,9106,146,8954,6,18901,99509,North America
Liberia,8090,295,7783,12,139824,5305117,Africa
Sierra Leone,7779,126,71.68125433,7581.318746,259958,8306436,Africa
Chad,7701,194,4874,2633,191341,17413580,Africa
British Virgin Islands,7392,64,68.11516031,7259.88484,107339,30596,North America
Cook Islands,7203,2,7150,51,19690,17571,Australia/Oceania
Sao Tome and Principe,6778,80,6685,13,29600,227679,Africa
Turks and Caicos,6752,40,6709,3,616788,39741,North America
Saint Kitts and Nevis,6607,48,6559,0,126958,53871,North America
Palau,6290,10,6276,4,71434,18233,Australia/Oceania
St. Barth,5507,6,50.74542584,5450.254574,78646,9945,North America
Nauru,5393,1,5347,45,20509,10903,Australia/Oceania
Kiribati,5085,24,2703,2358,62027.10359,123419,Australia/Oceania
Anguilla,3904,12,35.97424051,3856.025759,51382,15230,North America
Wallis and Futuna,3550,8,438,3104,20508,10982,Australia/Oceania
Saint Pierre Miquelon,3452,2,2449,1001,25400,5759,North America
Tuvalu,2943,1,27.11890108,2914.881099,35898.87234,12066,Australia/Oceania
Saint Helena,2166,0,2,2164,26420.98454,6115,Africa
Falkland Islands,1930,0,1930,0,8632,3539,South America
Montserrat,1403,8,1376,19,17762,4965,North America
Niue,1059,0,1056,3,12917.73898,1622,Australia/Oceania
Diamond Princess,712,13,699,0,8685.014308,278129.3283,
Tokelau,80,0,0.7371770596,79.26282294,975.8443043,1378,Australia/Oceania
Vatican City,29,0,29,0,353.7435603,799,Europe
Western Sahara,10,1,9,0,121.980538,626161,Africa
MS Zaandam,9,2,7,0,109.7824842,3515.679712,
Total:,704753890,7010681,675619811,22123398,8596625869,275298772543,
,,0,,,,,
